CODUSU;nro_hogar;realizada;ano4;trimestre;region;mas_500;aglomerado;pondera;iv1;iv1_esp;iv2;iv3;iv3_esp;iv4;iv5;iv6;iv7;iv7_esp;iv8;iv9;iv10;iv11;iv12_1;iv12_2;iv12_3;ii1;ii2;ii3;ii3_1;ii4_1;ii4_2;ii4_3;ii5;ii5_1;ii6;ii6_1;ii7;ii7_esp;ii8;ii8_esp;ii9;v1;v2;v21;v22;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19_a;v19_b;ix_tot;ix_men10;ix_mayeq10;itf;decifr;idecifr;rdecifr;gdecifr;pdecifr;adecifr;ipcf;deccfr;ideccfr;rdeccfr;gdeccfr;pdeccfr;adeccfr;vii1_1;vii1_2;vii2_1;vii2_2;vii2_3;vii2_4;idimph
393472;1;1;2015;2;43;N;38;131;1; ;3;1; ;4;1;1;1; ;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;6000;3;3;3; ;3;3;3000,00;4;4;4; ;5;4;1;0;2;0;0;0;0
393473;1;1;2015;2;43;N;3;274;1; ;4;1; ;4;1;1;1; ;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;36000;10;10;10; ;10;10;7200,00;9;9;8; ;9;8;2;0;1;4;0;0;0
393476;1;1;2015;2;40;N;22;138;1; ;2;1; ;2;1;1;1; ;1;1;2;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;1;2;5000;2;2;2; ;2;3;1666,67;2;2;3; ;2;3;1;0;98;0;0;0;0
393477;1;1;2015;2;1;S;33;910;2; ;4;2; ;4;1;1;2; ;1;1;2;2;2;1;2;4;3;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;5500;2; ;2;2; ;2;1375,00;2; ;2;2; ;2;2;0;98;0;0;0;10010
393479;1;1;2015;2;43;N;6;272;2; ;5;1; ;4;2;1;1; ;1;1;1;3;2;2;2;5;4;2;0;1;2;2;2;0;2;0;2; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;7;1;6;22500;9;9;9; ;9;9;3214,29;4;5;4; ;5;4;1;0;6;0;0;0;10000
393482;1;1;2015;2;42;N;27;302;1; ;3;1; ;7;2;1;1; ;1;1;1;2;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1; ;2; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;7;2;5;8600;5;5;4; ;5;5;1228,57;1;1;1; ;1;2;2;3;98;0;0;0;0
393483;1;1;2015;2;42;N;27;216;1; ;4;1; ;1;1;1;1; ;1;1;1;3;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5500;2;3;2; ;3;2;5500,00;7;8;8; ;8;8;1;0;98;0;0;0;0
393484;1;1;2015;2;43;N;14;106;1; ;3;1; ;4;1;1;1; ;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;7600;4;4;4; ;4;5;7600,00;9;9;9; ;9;9;1;0;98;0;0;0;0
393485;1;1;2015;2;44;N;9;161;1; ;3;1; ;2;1;1;1; ;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;20000;9;9;7; ;9;6;6666,67;8;8;6; ;8;5;2;0;98;0;0;0;0
393486;1;1;2015;2;1;S;33;381;2; ;3;2; ;2;1;1;1; ;1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;4; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;27000;10; ;10;10; ;10;6750,00;8; ;8;8; ;9;2;0;4;0;0;0;0
