CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
TQRMNOQYUHKMKQCDEIJAH00483575;2017;1;1;1;1;S;33;1671;1;;3;1;;4;1;2;2;;1;2;2;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;19500;6;  ;6;6;  ;6;9750;7;  ;7;7;  ;8;2794;1;2;98;0;0;0
TQRMNOPSWHLOKPCDEIJAH00505534;2017;1;1;1;1;S;33;2338;1;;6;1;;4;1;1;1;;1;1;1;3;2;2;2;6;4;2;0;1;1;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10;4;6;32600;8;  ;8;8;  ;9;3260;2;  ;2;2;  ;3;4441;2;3;5;6;0;0
TQRMNORWYHLOKPCDEIJAH00512519;2017;1;1;1;1;S;33;2338;1;;3;1;;3;1;1;2;;1;1;1;3;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;7;3;4;26850;7;  ;7;7;  ;8;3835,71;3;  ;3;3;  ;3;3308;1;5;2;0;0;0
TQRMNORVRHMOKQCDEIJAH00512520;2017;1;1;1;1;S;33;2184;1;;4;1;;2;1;1;1;;1;1;1;1;1;1;2;4;3;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;7700;2;  ;2;2;  ;2;2566,67;2;  ;2;2;  ;2;2777;1;3;2;0;0;0
TQRMNORUVHJLKTCDEIJAH00506447;2017;1;1;1;1;S;33;1486;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;65000;10;  ;10;10;  ;10;16250;9;  ;9;9;  ;10;3240;2;0;1;0;0;0
TQRMNORXVHJLTNCDEIJAH00505749;2017;1;1;1;1;S;33;1515;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;0;1;3;0;0
TQRMNORUUHMKTNCDEIJAH00512521;2017;1;1;1;1;S;33;1416;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOSYYHKOTRCDEIJAH00482992;2017;1;1;1;1;S;33;1611;1;;1;1;;2;1;1;1;;1;1;2;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;0;2;0;0;0
TQRMNOPPYHMLQSCDEIJAH00512522;2017;1;1;1;1;S;33;359;1;;2;1;;3;1;1;2;;1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;22500;7;  ;6;7;  ;7;11250;8;  ;7;8;  ;8;625;2;0;1;0;0;0
TQTMNOQSTHMLQSCDEIJAH00512523;2017;1;1;1;1;S;33;359;2;;1;2;;3;2;1;2;;1;1;2;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;4;2;2;6600;1;  ;1;1;  ;2;1650;1;  ;1;1;  ;1;560;2;0;98;0;0;0
